name,state,lat,lng,sector_label
Calumet College of Saint Joseph,Indiana,41.671008,-87.494123,Private
Calvary University,Missouri,38.839578,-94.547927,Private
Calvin Theological Seminary,Michigan,42.927951,-85.586439,Private
Calvin University,Michigan,42.929916,-85.587548,Private
Cambridge College,Massachusetts,42.381091,-71.072646,Private
Cambridge College of Healthcare & Technology,Florida,26.438379,-80.123788,For-Profit
Cambridge Institute of Allied Health & Technology,Florida,28.66306,-81.375722,For-Profit
Cameron University,Oklahoma,34.606487,-98.434163,Public
Campbell University,North Carolina,35.409149,-78.738238,Private
Campbellsville University,Kentucky,37.343342,-85.348943,Private
Canisius College,New York,42.925206,-78.852577,Private
Capella University,Minnesota,44.976286,-93.268796,For-Profit
Capital University,Ohio,39.954875,-82.937867,Private
Capitol Technology University,Maryland,39.046673,-76.850231,Private
Cardinal Stritch University,Wisconsin,43.139752,-87.909045,Private
Career Networks Institute,California,33.721058,-117.8478,For-Profit
Careers Unlimited,Utah,40.275775,-111.731006,For-Profit
Caribbean University-Bayamon,Puerto Rico,18.383136,-66.168315,Private
Caribbean University-Carolina,Puerto Rico,18.380193,-65.960036,Private
Caribbean University-Ponce,Puerto Rico,18.006633,-66.59425,Private
Caribbean University-Vega Baja,Puerto Rico,18.444882,-66.40315,Private
Carleton College,Minnesota,44.462318,-93.154666,Private
Carlos Albizu University-Miami,Florida,25.794178,-80.356315,Private
Carlos Albizu University-San Juan,Puerto Rico,18.466573,-66.113908,Private
Carlow University,Pennsylvania,40.439293,-79.963448,Private
Carnegie Mellon University,Pennsylvania,40.44357,-79.941993,Private
Carolina Christian College,North Carolina,36.146168,-80.256252,Private
Carolina College of Biblical Studies,North Carolina,35.05141,-78.939514,Private
Carolinas College of Health Sciences,North Carolina,35.200295,-80.838535,Public
Carroll College,Montana,46.600771,-112.040285,Private
Carroll University,Wisconsin,43.004527,-88.228114,Private
Carson-Newman University,Tennessee,36.122934,-83.491709,Private
Carthage College,Wisconsin,42.622969,-87.820924,Private
Cascadia College,Washington,47.760915,-122.191572,Public
Case Western Reserve University,Ohio,41.507419,-81.609596,Private
Castleton University,Vermont,43.608397,-73.180842,Public
Catawba College,North Carolina,35.691443,-80.482751,Private
Catholic Distance University,West Virginia,39.28763,-77.860321,Private
Catholic Theological Union at Chicago,Illinois,41.797895,-87.585989,Private
Cazenovia College,New York,42.932489,-75.854882,Private
Cedar Crest College,Pennsylvania,40.586318,-75.519221,Private
Cedarville University,Ohio,39.749237,-83.814692,Private
CEM College-Bayamon,Puerto Rico,18.398651,-66.155406,For-Profit
CEM College-Humacao,Puerto Rico,18.148771,-65.821107,For-Profit
CEM College-Mayaguez,Puerto Rico,18.199097,-67.146379,For-Profit
CEM College-San Juan,Puerto Rico,18.393955,-66.035797,For-Profit
Centenary College of Louisiana,Louisiana,32.483335,-93.730834,Private
Centenary University,New Jersey,40.84764,-74.833644,Private
Center for Advanced Studies On Puerto Rico and the Caribbean,Puerto Rico,18.466567,-66.11841,Private
Centra College of Nursing,Virginia,37.4051,-79.174101,Private
Central Baptist College,Arkansas,35.083838,-92.445021,Private
Central Christian College of Kansas,Kansas,38.357978,-97.668597,Private
Central Christian College of the Bible,Missouri,39.395963,-92.427259,Private
Central College,Iowa,41.401539,-92.922199,Private
Central Connecticut State University,Connecticut,41.692502,-72.765991,Public
Central Methodist University-College of Graduate and Extended Studies,Missouri,39.150497,-92.685253,Private
Central Methodist University-College of Liberal Arts and Sciences,Missouri,39.150497,-92.685253,Private
Central Michigan University,Michigan,43.591203,-84.77525,Public
Central Penn College,Pennsylvania,40.3049,-76.934461,For-Profit
Central State University,Ohio,39.715787,-83.880186,Public
Central Washington University,Washington,47.002687,-120.538368,Public
Central Yeshiva Beth Joseph,New York,40.615411,-73.959386,Private
Central Yeshiva Tomchei Tmimim Lubavitz,New York,40.669694,-73.938778,Private
Centralia College,Washington,46.715017,-122.960591,Public
Centre College,Kentucky,37.645709,-84.779392,Private
Centura College-Chesapeake,Virginia,36.765954,-76.227712,For-Profit
Centura College-Virginia Beach,Virginia,36.837648,-76.064499,For-Profit
Chadron State College,Nebraska,42.8199,-103.001615,Public
Chamberlain University-Arizona,Arizona,33.56573,-112.104421,For-Profit
Chamberlain University-California,California,38.596193,-121.278258,For-Profit
Chamberlain University-Florida,Florida,30.243517,-81.586421,For-Profit
Chamberlain University-Georgia,Georgia,33.911943,-84.351949,For-Profit
Chamberlain University-Illinois,Illinois,41.949727,-88.038558,For-Profit
Chamberlain University-Indiana,Indiana,39.91916,-86.111061,For-Profit
Chamberlain University-Louisiana,Louisiana,29.962307,-90.152655,For-Profit
Chamberlain University-Michigan,Michigan,42.556474,-83.150516,For-Profit
Chamberlain University-Missouri,Missouri,38.701907,-90.436283,For-Profit
Chamberlain University-Nevada,Nevada,36.185176,-115.313525,For-Profit
Chamberlain University-New Jersey,New Jersey,40.465934,-74.438877,For-Profit
Chamberlain University-North Carolina,North Carolina,35.13766,-80.931971,For-Profit
Chamberlain University-Ohio,Ohio,39.940449,-82.940493,For-Profit
Chamberlain University-Texas,Texas,29.838386,-95.560414,For-Profit
Chamberlain University-Virginia,Virginia,38.852326,-77.050273,For-Profit
